EFFORTID,TRANSID,PROJECTCODE,Date,SITE,OBSERVER,END,ELAPSED,CLOUDS,RAIN,MOON,TRANSECT,COUNT,BAIT,CONFIG,HEIGHT,ARRAY,BI,T-ELAPSED,SPACING,ROW SPACINGl,COMMENTS
11572,53234,GNWR SSP BIRD,5-Jul-14,RTSI,JMK,1140,24,95,10,,EF,8,Q,M,C,S,0,24,60,60,
11561,53218,GNWR SSP BIRD,6-Jul-14,RTSI,MCV,1033,24,10,10,,CD,8,Q,M,C,S,0,24,60,60,
11561,53219,GNWR SSP BIRD,6-Jul-14,RTSI,MCV,1033,24,10,10,,EF,8,Q,M,C,S,0,24,60,60,
11577,53241,GNWR SSP BIRD,7-Jul-14,RTSI,ETH,957,24,45,10,,CD,8,Q,M,C,S,0,24,60,60,
11578,53242,GNWR SSP BIRD,7-Jul-14,RTSI,MCV,957,24,45,10,,EF,8,Q,M,C,S,0,24,60,60,
11580,53244,GNWR SSP BIRD,8-Jul-14,RTSI,ETH,846,24,45,10,,DE,8,Q,M,C,S,0,24,60,60,
11579,53243,GNWR SSP BIRD,8-Jul-14,RTSI,JMK,841,24,45,10,,BC,8,Q,M,C,S,0,24,60,60,
11583,53251,GNWR SSP BIRD,9-Jul-14,RTSI,MPH,902,24,20,10,,BC,8,Q,M,C,S,0,24,60,60,
11583,53252,GNWR SSP BIRD,9-Jul-14,RTSI,MPH,952,24,20,10,,DE,8,Q,M,C,S,0,24,60,60,
11584,53253,GNWR SSP BIRD,10-Jul-14,RTSI,MCV,935,24,5,10,,BC,8,Q,M,C,S,0,24,60,60,
11584,53254,GNWR SSP BIRD,10-Jul-14,RTSI,MCV,841,24,5,10,,DE,8,Q,M,C,S,0,24,60,60,
11588,53261,GNWR SSP BIRD,11-Jul-14,RTSI,MCV,947,24,85,0,,BC,8,Q,M,C,S,0,24,60,60,
11588,53262,GNWR SSP BIRD,11-Jul-14,RTSI,MCV,910,24,85,0,,DE,8,Q,M,C,S,0,24,60,60,
11593,53271,GNWR SSP BIRD,14-Jul-14,RTSI,MCV,830,24,35,10,,BC,8,Q,M,C,S,0,24,60,60,
11593,53272,GNWR SSP BIRD,14-Jul-14,RTSI,MCV,830,24,35,10,,DE,8,Q,M,C,S,0,24,60,60,
11596,53279,GNWR SSP BIRD,15-Jul-14,RTSI,JMK,906,24,40,0,,BC,8,Q,M,C,S,0,24,60,60,
11596,53280,GNWR SSP BIRD,15-Jul-14,RTSI,JMK,940,24,40,0,,DE,8,Q,M,C,S,0,24,60,60,
11597,53281,GNWR SSP BIRD,16-Jul-14,RTSI,MCV,854,24,80,10,,BC,8,Q,M,C,S,0,24,60,60,
11597,53282,GNWR SSP BIRD,16-Jul-14,RTSI,MCV,854,24,80,10,,DE,8,Q,M,C,S,0,24,60,60,
11599,53285,GNWR SSP BIRD,17-Jul-14,RTSI,CJR,1005,24,90,10,,AB,8,Q,M,C,S,0,24,60,60,
11599,53286,GNWR SSP BIRD,17-Jul-14,RTSI,CJR,925,24,90,10,,CD,8,Q,M,C,S,0,24,60,60,
11602,53291,GNWR SSP BIRD,18-Jul-14,RTSI,JMK,917,24,90,10,,AB,8,Q,M,C,S,0,24,60,60,
11602,53292,GNWR SSP BIRD,18-Jul-14,RTSI,JMK,917,24,90,10,,CD,8,Q,M,C,S,0,24,60,60,
11603,53293,GNWR SSP BIRD,19-Jul-14,RTSI,ETH,842,24,20,10,,AB,8,Q,M,C,S,0,24,60,60,
11603,53294,GNWR SSP BIRD,19-Jul-14,RTSI,ETH,1019,24,20,10,,CD,8,Q,M,C,S,0,24,60,60,
11604,53295,GNWR SSP BIRD,20-Jul-14,RTSI,JMK,1029,24,95,10,,CD,8,Q,M,C,S,0,24,60,60,
11605,53296,GNWR SSP BIRD,20-Jul-14,RTSI,MCV,1210,24,95,10,,AB,8,Q,M,C,S,0,24,60,60,
11608,53303,GNWR SSP BIRD,21-Jul-14,RTSI,MCV,1115,24,100,11,,AB,8,Q,M,C,S,0,24,60,60,
11608,53304,GNWR SSP BIRD,21-Jul-14,RTSI,MCV,1038,24,100,11,,CD,8,Q,M,C,S,0,24,60,60,
11609,53305,GNWR SSP BIRD,22-Jul-14,RTSI,KLD,945,24,20,10,,AB,8,Q,M,C,S,0,24,60,60,
11609,53306,GNWR SSP BIRD,22-Jul-14,RTSI,KLD,1044,24,20,10,,CD,8,Q,M,C,S,0,24,60,60,
11611,53310,GNWR SSP BIRD,23-Jul-14,RTSI,ETH,852,24,65,10,,AB,8,Q,M,C,S,0,24,60,60,
11611,53311,GNWR SSP BIRD,23-Jul-14,RTSI,ETH,925,24,65,10,,CD,8,Q,M,C,S,0,24,60,60,
11613,53315,GNWR SSP BIRD,24-Jul-14,RTSI,MCV,753,24,10,10,,AB,8,Q,M,C,S,0,24,60,60,
11613,53316,GNWR SSP BIRD,24-Jul-14,RTSI,MCV,750,24,10,10,,CD,8,Q,M,C,S,0,24,60,60,
11616,53323,GNWR SSP BIRD,25-Jul-14,RTSI,ETH,1005,24,85,0,,AB,8,Q,M,C,S,0,24,60,60,
11616,53324,GNWR SSP BIRD,25-Jul-14,RTSI,ETH,1101,24,85,0,,CD,8,Q,M,C,S,0,24,60,60,
11633,53342,GNWR SSP BIRD,26-Jul-14,RTSI,CJR,1353,24,100,11,,BC,8,Q,M,C,S,0,24,60,60,
11633,53343,GNWR SSP BIRD,26-Jul-14,RTSI,CJR,1353,24,100,11,,EF,8,Q,M,C,S,0,24,60,60,
11639,53349,GNWR SSP BIRD,27-Jul-14,RTSI,JMK,828,24,95,10,,BC,8,Q,M,C,S,0,24,60,60,
11639,53350,GNWR SSP BIRD,27-Jul-14,RTSI,JMK,838,24,95,10,,EF,8,Q,M,C,S,0,24,60,60,
11641,53356,GNWR SSP BIRD,28-Jul-14,RTSI,ETH,1138,24,100,10,,BC,8,Q,M,C,S,0,24,60,60,
11641,53357,GNWR SSP BIRD,28-Jul-14,RTSI,ETH,1103,24,100,10,,EF,8,Q,M,C,S,1,24,60,60,
11678,53397,GNWR SSP BIRD,29-Jul-14,RTSI,JMK,934,24,100,11,,BC,8,Q,M,C,S,0,24,60,60,
11678,53398,GNWR SSP BIRD,29-Jul-14,RTSI,JMK,1036,24,100,11,,EF,8,Q,M,C,S,0,24,60,60,
11684,53408,GNWR SSP BIRD,1-Aug-14,RTSI,JMK,807,24,70,10,,BC,8,Q,M,C,S,0,24,60,60,
11684,53409,GNWR SSP BIRD,1-Aug-14,RTSI,JMK,803,24,70,10,,EF,8,Q,M,C,S,1,24,60,60,
11685,53410,GNWR SSP BIRD,2-Aug-14,RTSI,MCV,830,24,95,10,,BC,8,Q,M,C,S,0,24,60,60,
11685,53411,GNWR SSP BIRD,2-Aug-14,RTSI,MCV,830,24,95,10,,EF,8,Q,M,C,S,0,24,60,60,
11690,53420,GNWR SSP BIRD,3-Aug-14,RTSI,ETH,940,24,100,11,,BC,8,Q,M,C,S,0,24,60,60,
11690,53421,GNWR SSP BIRD,3-Aug-14,RTSI,ETH,949,24,100,11,,EF,8,Q,M,C,S,0,24,60,60,
11694,53428,GNWR SSP BIRD,4-Aug-14,RTSI,CJR,935,24,60,10,,AB,8,Q,M,C,S,0,24,60,60,
11694,53429,GNWR SSP BIRD,4-Aug-14,RTSI,CJR,935,24,60,10,,DE,8,Q,M,C,S,0,24,60,60,
11695,53430,GNWR SSP BIRD,5-Aug-14,RTSI,JMK,915,24,30,0,,AB,8,Q,M,C,S,0,24,60,60,
11695,53431,GNWR SSP BIRD,5-Aug-14,RTSI,JMK,903,24,30,0,,DE,8,Q,M,C,S,0,24,60,60,
11697,53435,GNWR SSP BIRD,6-Aug-14,RTSI,ETH,1139,24,95,11,,AB,8,Q,M,C,S,0,24,60,60,
11697,53436,GNWR SSP BIRD,6-Aug-14,RTSI,ETH,1013,24,95,11,,DE,8,Q,M,C,S,0,24,60,60,
11699,53440,GNWR SSP BIRD,7-Aug-14,RTSI,TJH,915,24,20,0,,AB,8,Q,M,C,S,0,24,60,60,
11699,53441,GNWR SSP BIRD,7-Aug-14,RTSI,TJH,830,24,20,0,,DE,8,Q,M,C,S,0,24,60,60,
11709,53452,GNWR SSP BIRD,8-Aug-14,RTSI,CJR,1017,24,60,0,,AB,8,Q,M,C,S,0,24,60,60,
11709,53453,GNWR SSP BIRD,8-Aug-14,RTSI,CJR,930,24,60,0,,DE,8,Q,M,C,S,0,24,60,60,
11718,53465,GNWR SSP BIRD,9-Aug-14,RTSI,TJH,943,24,30,0,,AB,8,Q,M,C,S,0,24,60,60,
11718,53466,GNWR SSP BIRD,9-Aug-14,RTSI,TJH,830,24,30,0,,DE,8,Q,M,C,S,1,24,60,60,
11722,53473,GNWR SSP BIRD,10-Aug-14,RTSI,ETH,1021,24,70,0,,AB,8,Q,M,C,S,0,24,60,60,
11722,53474,GNWR SSP BIRD,10-Aug-14,RTSI,ETH,943,24,70,0,,DE,8,Q,M,C,S,0,24,60,60,
11725,53477,GNWR SSP BIRD,11-Aug-14,RTSI,MCV,821,24,70,0,,AB,8,Q,M,C,S,0,24,60,60,
11725,53478,GNWR SSP BIRD,11-Aug-14,RTSI,MCV,821,24,70,0,,DE,7,Q,M,C,S,0,24,60,60,DOOR FLAP OPEN - FIXED; CAM 5
11731,53489,GNWR SSP BIRD,12-Aug-14,RTSI,JMK,850,24,40,10,,AB,8,Q,M,C,S,0,24,60,60,
11731,53490,GNWR SSP BIRD,12-Aug-14,RTSI,JMK,1020,24,40,10,,DE,8,Q,M,C,S,0,24,60,60,
11732,53491,GNWR SSP BIRD,13-Aug-14,RTSI,CJR,806,24,10,0,,CD,8,Q,M,C,S,0,24,60,60,
11733,53492,GNWR SSP BIRD,13-Aug-14,RTSI,JMK,800,24,10,0,,EF,8,Q,M,C,S,0,24,60,60,
11736,53497,GNWR SSP BIRD,14-Aug-14,RTSI,ETH,830,24,95,10,,CD,8,Q,M,C,S,0,24,60,60,
11736,53498,GNWR SSP BIRD,14-Aug-14,RTSI,ETH,838,24,95,10,,EF,8,Q,M,C,S,0,24,60,60,
11738,53501,GNWR SSP BIRD,15-Aug-14,RTSI,MCV,902,24,45,10,,CD,8,Q,M,C,S,0,24,60,60,
11738,53502,GNWR SSP BIRD,15-Aug-14,RTSI,MCV,902,24,45,10,,EF,8,Q,M,C,S,0,24,60,60,
11751,53526,GNWR SSP BIRD,16-Aug-14,RTSI,MPH,935,24,10,10,,CD,8,Q,M,C,S,0,24,60,60,
11751,53527,GNWR SSP BIRD,16-Aug-14,RTSI,MPH,937,24,10,10,,EF,8,Q,M,C,S,0,24,60,60,
11756,53538,GNWR SSP BIRD,17-Aug-14,RTSI,MPH,751,24,90,10,,CD,8,Q,M,C,S,0,24,60,60,
11756,53539,GNWR SSP BIRD,17-Aug-14,RTSI,MPH,751,24,90,10,,EF,8,Q,M,C,S,0,24,60,60,
11757,53540,GNWR SSP BIRD,18-Aug-14,RTSI,MCV,905,24,75,11,,CD,7,Q,M,C,S,1,24,60,60,DOOR WAS SLIGHTLY OPEN. BIG ENOUGH FOR A SNAKE TO ESCAPE
11757,53543,GNWR SSP BIRD,18-Aug-14,RTSI,MCV,1000,24,75,11,,EF,8,Q,M,C,S,0,24,60,60,
11739,53503,GNWR SSP BIRD,19-Aug-14,RTSI,JMK,917,24,80,10,,CD,8,Q,M,C,S,0,24,60,60,
11739,53504,GNWR SSP BIRD,19-Aug-14,RTSI,JMK,917,24,80,10,,EF,8,Q,M,C,S,1,24,60,60,
11761,53549,GNWR SSP BIRD,20-Aug-14,RTSI,JMK,1010,24,80,0,,CD,8,Q,M,C,S,0,24,60,60,
11761,53550,GNWR SSP BIRD,20-Aug-14,RTSI,JMK,1042,24,80,0,,EF,8,Q,M,C,S,0,24,60,60,
11743,53510,GNWR SSP BIRD,21-Aug-14,RTSI,ETH,946,24,85,10,,CD,8,Q,M,C,S,0,24,60,60,
11742,53509,GNWR SSP BIRD,21-Aug-14,RTSI,JMK,1000,24,85,10,,EF,8,Q,M,C,S,0,24,60,60,
